WandB_Run_ID,WandB_Folder,Local_Log_Folder,Sync_Command
7p0rz7yt,offline-run-20251217_044105-7p0rz7yt,satellite_0_thermalmapping_135-2025-12-17_04-41-04-0e646ebf-6924-425b-962c-98c6256bbebc,wandb sync wandb/offline-run-20251217_044105-7p0rz7yt
767r3nf0,offline-run-20251217_051724-767r3nf0,satellite_0_thermalmapping_135-2025-12-17_05-17-23-0493a853-e5c2-41bd-b9bb-7130d61b1043,wandb sync wandb/offline-run-20251217_051724-767r3nf0
k6vhsyyz,offline-run-20251217_052033-k6vhsyyz,satellite_0_thermalmapping_135-2025-12-17_05-20-32-4b4277fc-3583-48d4-8075-0fa4919746db,wandb sync wandb/offline-run-20251217_052033-k6vhsyyz
9y3nfepq,offline-run-20251217_090516-9y3nfepq,satellite_0_thermalmapping_135-2025-12-17_09-05-15-14260b5f-de01-4ce1-9b38-2d56c644019f,wandb sync wandb/offline-run-20251217_090516-9y3nfepq
ejodynbv,offline-run-20251217_091013-ejodynbv,satellite_0_thermalmapping_135-2025-12-17_09-10-12-1d5d15ca-50ec-47d7-b1d5-431d4f74e874,wandb sync wandb/offline-run-20251217_091013-ejodynbv
vbs3buyw,offline-run-20251217_160227-vbs3buyw,satellite_0_thermalmapping_135-2025-12-17_16-02-26-bb19368f-df6e-4140-b11c-7b1637170b45,wandb sync wandb/offline-run-20251217_160227-vbs3buyw
74at162o,offline-run-20251217_160531-74at162o,satellite_0_thermalmapping_135-2025-12-17_16-05-30-b5d61d2c-2498-4ea8-86fd-1a1b27848d45,wandb sync wandb/offline-run-20251217_160531-74at162o
vte54xve,offline-run-20251217_160717-vte54xve,satellite_0_thermalmapping_135-2025-12-17_16-07-15-4cd607fb-6eae-4244-acd9-adf391e9a214,wandb sync wandb/offline-run-20251217_160717-vte54xve
1uc3s7tf,offline-run-20251217_160921-1uc3s7tf,satellite_0_thermalmapping_135-2025-12-17_16-09-20-a07be64b-5b21-4f7b-8419-6626e0be594c,wandb sync wandb/offline-run-20251217_160921-1uc3s7tf
s92kmdvj,offline-run-20251218_080353-s92kmdvj,satellite_0_thermalmapping_135_train-2025-12-18_08-03-52-aeea89d5-6af2-4ad0-8752-974119d7c893,wandb sync wandb/offline-run-20251218_080353-s92kmdvj
bup6qgf3,offline-run-20251218_095414-bup6qgf3,satellite_0_thermalmapping_135_train-2025-12-18_09-54-13-6627f6ce-3a79-4a8a-a017-793d0af13e3e,wandb sync wandb/offline-run-20251218_095414-bup6qgf3
f23wdfkv,offline-run-20251218_101239-f23wdfkv,satellite_0_thermalmapping_135_train-2025-12-18_10-12-38-1e97012e-d401-45d6-82e9-1e5c9a59dc14,wandb sync wandb/offline-run-20251218_101239-f23wdfkv
hgahe647,offline-run-20251218_102808-hgahe647,satellite_0_thermalmapping_135_train-2025-12-18_10-28-07-245c9b90-e1d5-4dce-bb0f-bf7c32157456,wandb sync wandb/offline-run-20251218_102808-hgahe647
2asalcnz,offline-run-20251219_140208-2asalcnz,satellite_0_thermalmapping_135_train-2025-12-19_14-02-07-b04032f4-3ce7-470e-839f-169a61f2a809,wandb sync wandb/offline-run-20251219_140208-2asalcnz
mjqa62v0,offline-run-20251219_160158-mjqa62v0,satellite_0_thermalmapping_135_train-2025-12-19_16-01-57-7d1f8ce9-9851-4536-80bf-75f18e5e02a9,wandb sync wandb/offline-run-20251219_160158-mjqa62v0
6nduz0gx,offline-run-20251219_160256-6nduz0gx,satellite_0_thermalmapping_135_train-2025-12-19_16-02-55-48be9e34-75c8-47d7-95da-a7305dd4e2cb,wandb sync wandb/offline-run-20251219_160256-6nduz0gx
